Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guyana,9.41532519,7.863317837,6.004422604,3.512483084,3.80800361,9.310438944,4.302849357,5.58043701,5.88392912,5.180591201,5.767695821,6.685837894,6.839868152,4.812090389,5.759917212,3.217409725,3.628485801,6.894095039,24.65529209,32.76495318
Lesotho,3.651798841,3.596348,3.659599267,3.795558364,3.683701392,1.631137039,1.351158889,4.495555283,0.623150028,5.247469672,0.425678411,2.371590482,2.286531207,2.130402212,3.869602691,8.751503436,7.528978336,5.335947104,5.118888403,4.973005726
Norway,4.865519279,1.833750291,1.540348018,1.826185306,1.859462653,3.256481585,3.437084526,6.187028113,4.451751149,2.236141349,5.045810033,2.066358679,5.475490173,-0.261803344,0.650516595,1.885447809,-5.061604921,1.481097955,-1.296183832,4.206060274
Tunisia,3.496070831,2.046198486,3.414992938,1.965110531,1.89893981,2.208393023,9.424556677,3.894079233,5.797188581,3.509946165,3.029442784,0.94446648,3.450546905,2.288860538,2.151381496,2.247955745,1.489354893,2.037398092,2.486625593,2.0669949
Uganda,2.59476175,2.593888371,2.988527292,3.060331946,3.720850757,4.110826068,6.457058045,6.656597303,5.04737194,3.363604526,2.047797745,3.222442875,4.433422513,3.806662516,3.259893781,2.287427053,2.15176997,2.61088918,3.206558386,3.599731141
Guinea,0.331913233,0.059269764,1.016880677,2.291232724,2.692920574,3.574989252,2.962071801,6.143028628,5.483489,1.355237358,1.478813385,14.09050364,7.928206496,0.00226822,-0.840221283,0.605767934,18.82800865,5.594271749,2.97511257,0.32855281
Albania,4.108776037,5.285434537,3.104825701,3.172710425,4.750177407,3.259768342,3.654851781,6.108981586,9.682069946,11.17062673,9.138129797,8.135332974,7.45135734,9.816290193,8.693041027,8.690539128,8.805091261,7.855468033,7.951288907,7.856692572
Bulgaria,7.560896912,5.731605871,5.515261,9.916246541,11.74617068,13.72019166,22.90436308,31.24701892,18.91424711,7.490200026,3.657866664,3.666054526,3.309277138,3.576419631,1.921900981,4.385986496,2.766244002,3.403829475,2.732682714,3.027692349
Swaziland,,,,,,,,,,,,,,,,,,,,
Iceland,1.719106723,1.984806471,0.986280282,2.934162509,5.463294553,18.35689104,22.19573019,31.73844956,6.659541201,0.483397738,1.868803547,7.272274387,6.942777097,2.930888509,4.291415023,6.540809928,-5.128063967,-28.3072317,-2.374591808,-2.415917895
Romania,2.783649075,2.8642283,2.483387896,3.189952355,8.593798355,6.600778233,9.020115115,5.786908828,6.377487195,2.663748667,1.932385371,1.292826797,1.78600834,2.020331342,1.934991695,2.429387635,3.323273817,2.812016214,3.041348095,2.949753527
Finland,10.7409341,2.491643223,5.792664554,3.482934135,3.438109701,5.306310361,2.138572866,8.583923646,6.820029147,-3.495423618,4.90446687,-2.182793377,1.909019977,-1.821210672,6.284034718,7.187003395,2.129637053,6.724710307,-3.832414403,5.862532531
Ghana,3.329303379,1.680555283,0.955673775,1.791715353,1.568114186,1.349226451,3.111458973,5.571075269,9.466663986,9.108300623,7.849577869,8.255743982,7.982660011,5.1366502,6.503389712,6.720829495,6.395171423,5.531444088,4.576270828,5.770613954
Mauritius,5.696405198,-0.599865225,0.662488345,1.07676585,0.211203296,0.643837301,1.518865354,4.181080395,3.78088837,2.811755101,4.297840283,3.762072039,5.047850045,2.418610143,3.558123353,1.851264745,3.096385694,3.62005645,2.619658831,3.362462244
Hungary,5.819155704,7.551293738,5.38897593,4.873871925,4.365235461,24.33126182,16.16124191,50.46318126,47.49558474,-2.135265715,-15.74501881,7.576881758,8.418670069,-2.648663691,9.277947577,-4.210647514,54.23906014,-8.486932719,-40.32992813,56.36850336
Germany,12.76319308,2.929289961,2.478372661,2.620117979,-0.726488213,2.102577025,2.922406767,1.486225621,0.829879478,1.66878763,2.533231229,2.604828006,1.855307283,1.800276269,0.501769129,1.859895133,1.866123503,2.980961705,4.001061735,1.751277732
Armenia,5.450433156,3.298067417,4.659499749,4.376570097,6.909902013,5.96010634,7.307315032,7.252331977,8.092349209,8.788694552,5.716037845,6.440668367,4.676727878,3.111931481,3.502114247,1.744736992,3.164508221,2.176846777,2.040033301,1.858267594
Azerbaijan,2.464289176,14.35913016,32.46670119,55.07029725,54.3652722,33.79504714,21.37906362,13.90071471,8.160909658,6.547600843,6.337255133,6.800620683,7.596083568,3.531931399,5.888108916,7.626336333,11.88265332,7.016879437,2.977946112,3.121830561
Croatia,4.69206473,4.496933814,3.657736422,5.323758896,3.160038108,3.999248476,6.637063991,7.733548511,7.474425886,4.903505828,2.578594613,1.997157575,2.589393463,1.610661995,5.524019871,0.105553756,0.811053173,0.859425353,1.975982339,1.925929882
Georgia,4.299844281,3.412704531,4.723542634,8.390557186,9.613616231,7.067848344,15.12375585,18.59938926,12.52225776,6.137372839,7.521667765,7.745107294,5.87198283,6.088362421,10.42082421,11.60419372,10.95251858,11.80906417,7.157546395,7.673532126
Lithuania,3.299608352,3.615150553,4.633945574,1.157502209,3.887042122,4.952742557,7.485467965,6.553211945,3.613767021,-0.963401426,2.969929796,4.320222499,1.577505051,1.652195756,0.736237941,2.503578758,2.737299242,2.904510334,2.420713014,2.880642944
Sierra Leone,6.133420204,0.901974622,0.830852374,0.621661643,4.2217306,5.497242011,3.122845624,4.422993265,2.119175541,4.500191915,9.247547614,32.3011956,19.00245956,8.732410791,7.479119148,5.98370116,3.769175885,11.06340018,6.130698063,8.30834186
Ukraine,1.903286294,2.085730841,1.636302052,2.843212173,2.645800462,9.0729597,5.205859954,7.148988857,5.950501039,4.072121203,4.742923548,4.417145442,4.650663252,2.459765643,0.634440717,-0.405356598,4.249325454,3.49227881,3.495748689,3.789397048
Yemen,,,,,,,,,,,,,,,,,,,,
Estonia,7.309609792,9.472202451,4.587808962,10.51106356,8.949751799,21.68738606,10.33467165,13.51333092,8.11308653,9.452423355,13.16865652,4.783739079,7.706480204,4.34460226,6.654528954,-3.104123146,3.816073037,6.423722047,3.960406045,9.413825459
Latvia,4.078179751,2.077500595,1.677190193,2.695036822,4.107726715,4.775289967,7.92690465,8.751565158,4.011256027,-0.570051733,1.989897443,5.355182869,3.815664782,3.250296439,3.335870448,2.984046068,1.195697566,3.793207957,1.246634508,3.110355743
Malawi,1.491247431,1.124378614,0.16877643,2.053255695,3.10150872,3.821111993,0.889485355,2.806009825,3.672720154,0.793560945,1.393898846,10.15431903,-0.147399751,8.178513462,9.889302048,4.514939411,2.12956276,1.026449753,1.044623482,0.906068711
Tajikistan,2.735935176,0.8785782,2.953548906,2.034955929,13.10217696,2.356037332,11.96469938,9.677827735,9.428066958,2.993495118,1.664971583,2.236542379,3.166969646,3.351384753,3.584002339,5.48890562,3.455415621,2.465714366,2.844324817,2.56373023
Vietnam,4.16392408,3.977335462,3.992687051,3.666012292,3.544081073,3.390403646,3.616000904,8.654717714,9.663039055,7.168819875,6.9006118,5.481799304,5.370298997,5.19792941,4.940800273,6.106361156,6.138072368,6.300834952,6.321017489,6.154521757
Belarus,0.932575708,0.775405865,1.693132683,0.963663961,0.707732068,1.014977462,0.966328359,3.991616143,3.600682329,3.688518931,2.435056533,6.480801966,2.228206919,2.973864618,2.362529221,2.926769593,2.612805022,2.332138504,2.376261878,1.976877774
Czech Republic,8.066031086,8.318641595,10.33701023,2.019448799,5.361178046,10.01153358,4.564069806,7.26437054,3.722457494,2.541341419,4.863365019,1.824658745,4.516567468,3.47571024,3.863539823,0.90405097,5.528352754,5.138725412,3.343910398,4.289070926
Gambia,,,,,,,,,,,,,,,,,,,,
Macedonia,,,,,,,,,,,,,,,,,,,,
Slovenia,0.669307502,2.400807426,7.874877142,1.807339887,2.217360971,2.681294213,1.752794413,3.925533759,1.945441904,-0.688871872,0.662657074,1.700326313,0.071999914,0.214914546,2.041591485,4.015177854,3.232885042,2.46815084,2.841289904,3.15639977
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,
Turkmenistan,4.509881294,4.809319096,6.185596817,3.780806329,5.172299512,5.160477017,7.112223021,6.75922963,6.626357388,22.52356321,16.08411019,11.60000114,8.9,7.300000026,8.800001088,8.499978452,6.201812107,5.49999548,4.869682644,4.788401712
